campaign_id,city_id,starts_at,ends_at,channel,discount_cents,budget_cents
CP-DL-1,DL,2025-11-30T16:00:00Z,2025-12-30T16:00:00Z,APP_COUPON,300,150000
CP-DL-2,DL,2025-12-30T16:00:00Z,2026-01-29T16:00:00Z,APP_COUPON,300,150000
CP-DL-3,DL,2026-01-29T16:00:00Z,2026-02-28T16:00:00Z,APP_COUPON,300,150000
CP-DL-4,DL,2026-02-28T16:00:00Z,2026-03-30T16:00:00Z,APP_COUPON,300,150000
CP-DL-5,DL,2026-03-30T16:00:00Z,2026-04-29T16:00:00Z,APP_COUPON,300,150000
CP-DL-6,DL,2026-04-29T16:00:00Z,2026-05-29T16:00:00Z,APP_COUPON,300,150000
CP-SY-1,SY,2025-11-30T16:00:00Z,2025-12-30T16:00:00Z,APP_COUPON,350,150000
CP-SY-2,SY,2025-12-30T16:00:00Z,2026-01-29T16:00:00Z,APP_COUPON,350,150000
CP-SY-3,SY,2026-01-29T16:00:00Z,2026-02-28T16:00:00Z,APP_COUPON,350,150000
CP-SY-4,SY,2026-02-28T16:00:00Z,2026-03-30T16:00:00Z,APP_COUPON,350,150000
CP-SY-5,SY,2026-03-30T16:00:00Z,2026-04-29T16:00:00Z,APP_COUPON,350,150000
CP-SY-6,SY,2026-04-29T16:00:00Z,2026-05-29T16:00:00Z,APP_COUPON,350,150000
