reservation_id,user_id,station_id,charger_id,created_at,expires_at,resolved_at,status,session_id
RSV-00000001,U-SH-000128,ST-SH-05,CH-SH-05-1,2025-11-30T16:15:00Z,2025-11-30T16:20:00Z,2025-11-30T16:20:00Z,CONFIRMED,SES-00000007
RSV-00000002,U-SY-000701,ST-SY-02,CH-SY-02-1,2025-11-30T16:35:00Z,2025-11-30T16:55:00Z,2025-11-30T16:55:00Z,CONFIRMED,SES-00000023
RSV-00000003,U-SY-000644,ST-SY-03,CH-SY-03-2,2025-11-30T16:45:00Z,2025-11-30T17:00:00Z,2025-11-30T17:00:00Z,CONFIRMED,SES-00000027
RSV-00000004,U-SH-001123,ST-SH-03,CH-SH-03-2,2025-11-30T16:50:00Z,2025-11-30T17:00:00Z,2025-11-30T17:00:00Z,CONFIRMED,SES-00000028
RSV-00000005,U-DL-000182,ST-DL-02,CH-DL-02-1,2025-11-30T17:00:00Z,2025-11-30T17:05:00Z,2025-11-30T17:05:00Z,CONFIRMED,SES-00000029
RSV-00000006,U-SH-000690,ST-SH-05,CH-SH-05-1,2025-11-30T17:55:00Z,2025-11-30T18:10:00Z,2025-11-30T18:10:00Z,CONFIRMED,SES-00000043
RSV-00000007,U-SZ-000592,ST-SZ-03,CH-SZ-03-2,2025-11-30T18:20:00Z,2025-11-30T18:30:00Z,2025-11-30T18:30:00Z,CONFIRMED,SES-00000052
RSV-00000009,U-BJ-000951,ST-BJ-04,CH-BJ-04-1,2025-11-30T20:05:00Z,2025-11-30T20:15:00Z,2025-11-30T20:15:00Z,CONFIRMED,SES-00000078
RSV-00000008,U-SH-000736,ST-SH-01,CH-SH-01-1,2025-11-30T19:55:00Z,2025-11-30T20:15:00Z,2025-11-30T20:15:00Z,CONFIRMED,SES-00000079
RSV-00000010,U-SZ-000967,ST-SZ-01,CH-SZ-01-2,2025-11-30T20:45:00Z,2025-11-30T20:50:00Z,2025-11-30T20:50:00Z,CONFIRMED,SES-00000086
RSV-00000011,U-SY-001087,ST-SY-03,CH-SY-03-1,2025-11-30T20:50:00Z,2025-11-30T21:10:00Z,2025-11-30T21:10:00Z,CONFIRMED,SES-00000090
RSV-00000013,U-SH-001088,ST-SH-04,CH-SH-04-1,2025-11-30T21:45:00Z,2025-11-30T21:55:00Z,2025-11-30T21:55:00Z,CONFIRMED,SES-00000096
