review_id,session_id,user_id,station_id,created_at,rating,issue_type,comment
REV-00000001,SES-00000003,U-BJ-000644,ST-BJ-03,2025-11-30T16:50:00Z,4,NONE,模拟评价：常规充电体验
REV-00000002,SES-00000009,U-SH-001012,ST-SH-03,2025-11-30T17:20:00Z,5,NONE,模拟评价：常规充电体验
REV-00000003,SES-00000014,U-SY-000256,ST-SY-04,2025-11-30T17:15:00Z,3,NONE,模拟评价：常规充电体验
REV-00000004,SES-00000016,U-BJ-000910,ST-BJ-05,2025-11-30T17:35:00Z,5,NONE,模拟评价：常规充电体验
REV-00000005,SES-00000017,U-DL-000379,ST-DL-01,2025-11-30T17:35:00Z,4,NONE,模拟评价：常规充电体验
REV-00000006,SES-00000022,U-SZ-000852,ST-SZ-04,2025-11-30T17:20:00Z,5,NONE,模拟评价：常规充电体验
REV-00000007,SES-00000026,U-SH-000657,ST-SH-03,2025-11-30T20:35:00Z,5,NONE,模拟评价：常规充电体验
REV-00000008,SES-00000027,U-SY-000644,ST-SY-03,2025-11-30T22:20:00Z,3,NONE,模拟评价：常规充电体验
REV-00000009,SES-00000029,U-DL-000182,ST-DL-02,2025-11-30T17:35:00Z,5,NONE,模拟评价：常规充电体验
REV-00000010,SES-00000032,U-SY-000406,ST-SY-03,2025-11-30T18:05:00Z,4,NONE,模拟评价：常规充电体验
REV-00000011,SES-00000034,U-SZ-000856,ST-SZ-05,2025-11-30T19:10:00Z,4,NONE,模拟评价：常规充电体验
REV-00000012,SES-00000037,U-SH-000168,ST-SH-04,2025-11-30T18:25:00Z,3,NONE,模拟评价：常规充电体验
