user_id,home_city_id,registered_at,segment,acquisition_channel,membership
U-DL-000001,DL,2024-09-14T16:00:00Z,COMMUTER,REFERRAL,STANDARD
U-DL-000002,DL,2023-12-19T16:00:00Z,COMMUTER,SEARCH,STANDARD
U-DL-000003,DL,2025-09-25T16:00:00Z,FAMILY,ADS,PLUS
U-DL-000004,DL,2024-08-23T16:00:00Z,FAMILY,SEARCH,STANDARD
U-DL-000005,DL,2025-07-22T16:00:00Z,COMMUTER,SEARCH,STANDARD
U-DL-000006,DL,2025-07-15T16:00:00Z,FAMILY,SEARCH,PLUS
U-DL-000007,DL,2025-01-10T16:00:00Z,COMMUTER,SEARCH,STANDARD
U-DL-000008,DL,2025-06-28T16:00:00Z,RIDE_HAILING,REFERRAL,PLUS
U-DL-000009,DL,2024-09-13T16:00:00Z,COMMUTER,ORGANIC,STANDARD
U-DL-000010,DL,2025-08-29T16:00:00Z,COMMUTER,REFERRAL,PLUS
U-DL-000011,DL,2025-09-26T16:00:00Z,FAMILY,REFERRAL,STANDARD
U-DL-000012,DL,2024-01-03T16:00:00Z,FAMILY,ADS,STANDARD
