label_id,session_id,recorded_at,anomaly_type,severity
ANOM-00000001,SES-00000006,2025-11-30T16:10:00Z,POWER_DERATING,MEDIUM
ANOM-00000002,SES-00000042,2025-11-30T18:45:00Z,EARLY_STOP,MEDIUM
ANOM-00000003,SES-00000116,2025-12-01T00:00:00Z,POWER_DERATING,MEDIUM
ANOM-00000004,SES-00000121,2025-12-01T00:10:00Z,EARLY_STOP,MEDIUM
ANOM-00000005,SES-00000134,2025-12-01T00:30:00Z,EARLY_STOP,MEDIUM
ANOM-00000006,SES-00000136,2025-12-01T00:30:00Z,THERMAL_STRESS,MEDIUM
ANOM-00000007,SES-00000208,2025-12-01T02:25:00Z,POWER_DERATING,MEDIUM
ANOM-00000008,SES-00000258,2025-12-01T03:20:00Z,POWER_DERATING,MEDIUM
ANOM-00000009,SES-00000269,2025-12-01T03:30:00Z,POWER_DERATING,MEDIUM
ANOM-00000010,SES-00000320,2025-12-01T04:45:00Z,EARLY_STOP,MEDIUM
ANOM-00000011,SES-00000332,2025-12-01T04:55:00Z,THERMAL_STRESS,MEDIUM
ANOM-00000012,SES-00000381,2025-12-01T05:55:00Z,POWER_DERATING,MEDIUM
