session_id,charger_id,recorded_at,soc_pct,pack_voltage_v,charge_current_a,max_cell_voltage_v,min_cell_voltage_v,max_temperature_c,min_temperature_c
SES-00000001,CH-BJ-04-2,2025-11-30T16:00:00Z,55.54,355.19,239.2,3.7179,3.6819,31.6,29.1
SES-00000002,CH-SH-04-1,2025-11-30T16:00:00Z,43.148,344.48,134.6,3.6063,3.5703,29.4,26.9
SES-00000003,CH-SZ-03-3,2025-11-30T16:00:00Z,29.755,332.91,20.58,3.4858,3.4498,27.6,25.1
SES-00000001,CH-BJ-04-2,2025-11-30T16:05:00Z,63.4067,361.98,237.89,3.7886,3.7526,31.7,29.2
SES-00000004,CH-BJ-04-3,2025-11-30T16:05:00Z,25.0383,328.83,18.43,3.4433,3.4073,23.7,21.2
SES-00000002,CH-SH-04-1,2025-11-30T16:05:00Z,48.3,348.93,133.37,3.6527,3.6167,29.4,26.9
SES-00000003,CH-SZ-03-3,2025-11-30T16:05:00Z,31.1825,334.14,20.51,3.4986,3.4626,27.6,25.1
SES-00000005,CH-DL-03-3,2025-11-30T16:10:00Z,44.4467,345.6,17.85,3.618,3.582,24.0,21.5
SES-00000001,CH-BJ-04-2,2025-11-30T16:10:00Z,71.38,368.87,236.28,3.8604,3.8244,31.8,29.3
SES-00000004,CH-BJ-04-3,2025-11-30T16:10:00Z,25.88,329.56,18.64,3.4509,3.4149,23.7,21.2
SES-00000002,CH-SH-04-1,2025-11-30T16:10:00Z,53.4707,353.4,132.12,3.6992,3.6633,29.4,26.9
SES-00000006,CH-SZ-03-2,2025-11-30T16:10:00Z,63.778,362.3,7.55,3.792,3.756,27.2,24.7
