charger_id,station_id,recorded_at,interval_seconds,state,session_id,power_kw,energy_wh,grid_energy_wh,grid_cost_cents,meter_wh,online
CH-DL-01-1,ST-DL-01,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-01-2,ST-DL-01,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-01-3,ST-DL-01,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-02-1,ST-DL-02,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-02-2,ST-DL-02,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-02-3,ST-DL-02,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-03-1,ST-DL-03,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-03-2,ST-DL-03,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-03-3,ST-DL-03,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-04-1,ST-DL-04,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-04-2,ST-DL-04,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
CH-DL-04-3,ST-DL-04,2025-11-30T16:00:00Z,300,AVAILABLE,,0.0,0,0,0,0,1
