attempt_id,user_id,vehicle_id,station_id,charger_id,attempted_at,outcome,failure_reason,session_id,queue_id,reservation_id
ATT-00000001,U-BJ-001011,V-BJ-001011,ST-BJ-04,CH-BJ-04-2,2025-11-30T16:00:00Z,STARTED,,SES-00000001,,
ATT-00000002,U-SH-000735,V-SH-000735,ST-SH-04,CH-SH-04-1,2025-11-30T16:00:00Z,STARTED,,SES-00000002,,
ATT-00000003,U-SZ-000189,V-SZ-000189,ST-SZ-03,CH-SZ-03-3,2025-11-30T16:00:00Z,STARTED,,SES-00000003,,
ATT-00000004,U-BJ-000516,V-BJ-000516,ST-BJ-04,CH-BJ-04-3,2025-11-30T16:05:00Z,STARTED,,SES-00000004,,
ATT-00000005,U-DL-000855,V-DL-000855,ST-DL-03,CH-DL-03-3,2025-11-30T16:10:00Z,STARTED,,SES-00000005,,
ATT-00000007,U-SZ-000966,V-SZ-000966,ST-SZ-03,CH-SZ-03-2,2025-11-30T16:10:00Z,STARTED,,SES-00000006,,
ATT-00000008,U-DL-000241,V-DL-000241,ST-DL-04,CH-DL-04-2,2025-11-30T16:15:00Z,STARTED,,SES-00000007,,
ATT-00000010,U-SZ-000656,V-SZ-000656,ST-SZ-01,CH-SZ-01-1,2025-11-30T16:15:00Z,STARTED,,SES-00000008,,
ATT-00000006,U-SH-001118,V-SH-001118,ST-SH-04,CH-SH-04-2,2025-11-30T16:10:00Z,STARTED,,SES-00000009,,RSV-00000001
ATT-00000012,U-SZ-000190,V-SZ-000190,ST-SZ-04,CH-SZ-04-1,2025-11-30T16:20:00Z,STARTED,,SES-00000010,,
ATT-00000013,U-SY-000004,V-SY-000004,ST-SY-04,CH-SY-04-1,2025-11-30T16:25:00Z,STARTED,,SES-00000011,,
ATT-00000014,U-BJ-000347,V-BJ-000347,ST-BJ-04,CH-BJ-04-1,2025-11-30T16:25:00Z,STARTED,,SES-00000012,,
