session_id,attempt_id,user_id,vehicle_id,station_id,charger_id,started_at,ended_at,unplugged_at,energy_wh,grid_energy_wh,electricity_fee_cents,service_fee_cents,parking_fee_cents,discount_cents,total_fee_cents,grid_cost_cents,status,stop_reason,start_soc_pct,end_soc_pct,target_mode,target_value,campaign_id
SES-00000001,ATT-00000001,U-BJ-001011,V-BJ-001011,ST-BJ-04,CH-BJ-04-2,2025-11-30T16:00:00Z,2025-11-30T16:25:00Z,2025-11-30T16:35:00Z,29319,30864,1583,879,0,0,2462,1296,COMPLETED,TARGET_REACHED,55.54,88.1167,ENERGY,29319,
SES-00000002,ATT-00000002,U-SH-000735,V-SH-000735,ST-SH-04,CH-SH-04-1,2025-11-30T16:00:00Z,2025-11-30T16:45:00Z,2025-11-30T16:45:00Z,31893,33576,1723,956,0,300,2379,1410,COMPLETED,TARGET_REACHED,43.148,85.672,ENERGY,31893,CP-SH-1
SES-00000003,ATT-00000003,U-SZ-000189,V-SZ-000189,ST-SZ-03,CH-SZ-03-3,2025-11-30T16:00:00Z,2025-11-30T19:50:00Z,2025-12-01T00:55:00Z,23238,25276,1261,692,0,0,1953,1061,COMPLETED,TARGET_REACHED,29.755,87.85,ENERGY,23238,
SES-00000004,ATT-00000004,U-BJ-000516,V-BJ-000516,ST-BJ-04,CH-BJ-04-3,2025-11-30T16:05:00Z,2025-11-30T17:20:00Z,2025-11-30T17:20:00Z,8057,8765,436,243,0,0,679,367,COMPLETED,DURATION_LIMIT,25.0383,38.4667,ENERGY,41752,
SES-00000005,ATT-00000005,U-DL-000855,V-DL-000855,ST-DL-03,CH-DL-03-3,2025-11-30T16:10:00Z,2025-12-01T00:40:00Z,2025-12-01T00:40:00Z,43264,47072,2453,1298,0,300,3451,2096,COMPLETED,DURATION_LIMIT,44.4467,92.5178,ENERGY,44293,CP-DL-1
SES-00000006,ATT-00000007,U-SZ-000966,V-SZ-000966,ST-SZ-03,CH-SZ-03-2,2025-11-30T16:10:00Z,2025-11-30T21:50:00Z,2025-12-01T00:05:00Z,11943,13009,639,361,0,300,700,540,COMPLETED,TARGET_REACHED,63.778,87.664,ENERGY,11943,CP-SZ-1
SES-00000007,ATT-00000008,U-DL-000241,V-DL-000241,ST-DL-04,CH-DL-04-2,2025-11-30T16:15:00Z,2025-11-30T16:40:00Z,2025-11-30T16:45:00Z,21633,22774,1167,650,0,0,1817,957,COMPLETED,TARGET_REACHED,41.684,84.95,ENERGY,21633,
SES-00000008,ATT-00000010,U-SZ-000656,V-SZ-000656,ST-SZ-01,CH-SZ-01-1,2025-11-30T16:15:00Z,2025-11-30T17:05:00Z,2025-11-30T17:15:00Z,32607,34328,1761,978,0,0,2739,1443,COMPLETED,TARGET_REACHED,44.128,87.604,ENERGY,32607,
SES-00000009,ATT-00000006,U-SH-001118,V-SH-001118,ST-SH-04,CH-SH-04-2,2025-11-30T16:20:00Z,2025-11-30T16:50:00Z,2025-11-30T16:55:00Z,28678,30191,1548,861,0,300,2109,1268,COMPLETED,TARGET_REACHED,26.268,83.624,ENERGY,28678,CP-SH-1
SES-00000010,ATT-00000012,U-SZ-000190,V-SZ-000190,ST-SZ-04,CH-SZ-04-1,2025-11-30T16:20:00Z,2025-11-30T17:15:00Z,2025-11-30T17:15:00Z,39589,41678,2138,1188,0,0,3326,1751,COMPLETED,TARGET_REACHED,38.7633,82.7511,ENERGY,39589,
SES-00000011,ATT-00000013,U-SY-000004,V-SY-000004,ST-SY-04,CH-SY-04-1,2025-11-30T16:25:00Z,2025-11-30T16:55:00Z,2025-11-30T16:55:00Z,19394,20418,1047,582,0,0,1629,858,COMPLETED,TARGET_REACHED,41.274,80.062,ENERGY,19394,
SES-00000012,ATT-00000014,U-BJ-000347,V-BJ-000347,ST-BJ-04,CH-BJ-04-1,2025-11-30T16:25:00Z,2025-11-30T17:00:00Z,2025-11-30T17:05:00Z,23214,24440,1253,697,0,0,1950,1027,COMPLETED,TARGET_REACHED,48.0367,86.7267,ENERGY,23214,
