corruption_id,table_name,record_id,corruption_type,expected_action
COR-00000001,charging_sessions,SES-00000119,STATUS_FORMAT,NORMALIZE
COR-00000002,charging_sessions,SES-00000151,STATUS_FORMAT,NORMALIZE
COR-00000003,charging_sessions,SES-00000246,UNKNOWN_STATION,QUARANTINE
COR-00000004,charging_sessions,SES-00000279,DUPLICATE,REMOVE_DUPLICATE
COR-00000005,charging_sessions,SES-00000317,MISSING_ID,QUARANTINE
COR-00000006,charging_sessions,SES-00000346,NEGATIVE_FEE,QUARANTINE
COR-00000007,charging_sessions,SES-00000354,STATUS_FORMAT,NORMALIZE
COR-00000008,charging_sessions,SES-00000360,UNKNOWN_STATION,QUARANTINE
COR-00000009,charging_sessions,SES-00000372,DUPLICATE,REMOVE_DUPLICATE
COR-00000010,charging_sessions,SES-00000407,NEGATIVE_FEE,QUARANTINE
COR-00000011,charging_sessions,SES-00000425,UNKNOWN_STATION,QUARANTINE
COR-00000012,charging_sessions,SES-00000469,UNKNOWN_STATION,QUARANTINE
