event_id,ticket_id,event_at,status,note
MEV-00000001,TKT-00000001,2025-12-01T01:05:00Z,SUBMITTED,模拟维修流程
MEV-00000002,TKT-00000001,2025-12-01T01:10:00Z,ACCEPTED,模拟维修流程
MEV-00000003,TKT-00000001,2025-12-01T01:15:00Z,IN_PROGRESS,模拟维修流程
MEV-00000004,TKT-00000001,2025-12-01T05:50:00Z,RESOLVED,模拟维修流程
MEV-00000005,TKT-00000002,2025-12-01T21:15:00Z,SUBMITTED,模拟维修流程
MEV-00000006,TKT-00000002,2025-12-01T21:20:00Z,ACCEPTED,模拟维修流程
MEV-00000007,TKT-00000002,2025-12-01T21:25:00Z,IN_PROGRESS,模拟维修流程
MEV-00000008,TKT-00000002,2025-12-02T00:20:00Z,RESOLVED,模拟维修流程
MEV-00000009,TKT-00000003,2025-12-02T00:50:00Z,SUBMITTED,模拟维修流程
MEV-00000010,TKT-00000003,2025-12-02T00:55:00Z,ACCEPTED,模拟维修流程
MEV-00000011,TKT-00000003,2025-12-02T01:00:00Z,IN_PROGRESS,模拟维修流程
MEV-00000012,TKT-00000003,2025-12-02T05:00:00Z,RESOLVED,模拟维修流程
