ticket_id,charger_id,station_id,reported_at,accepted_at,work_started_at,restored_at,fault_type,severity,labor_cost_cents,parts_cost_cents,status
TKT-00000001,CH-BJ-02-3,ST-BJ-02,2025-12-01T01:05:00Z,2025-12-01T01:10:00Z,2025-12-01T01:15:00Z,2025-12-01T05:50:00Z,COOLING,MEDIUM,29882,39667,RESOLVED
TKT-00000002,CH-DL-04-2,ST-DL-04,2025-12-01T21:15:00Z,2025-12-01T21:20:00Z,2025-12-01T21:25:00Z,2025-12-02T00:20:00Z,POWER_MODULE,MEDIUM,11423,41463,RESOLVED
TKT-00000003,CH-SZ-04-1,ST-SZ-04,2025-12-02T00:50:00Z,2025-12-02T00:55:00Z,2025-12-02T01:00:00Z,2025-12-02T05:00:00Z,CONNECTOR,MEDIUM,17246,13780,RESOLVED
TKT-00000004,CH-SH-05-2,ST-SH-05,2025-12-03T07:35:00Z,2025-12-03T07:40:00Z,2025-12-03T07:45:00Z,2025-12-03T11:50:00Z,CONNECTOR,MEDIUM,19857,16297,RESOLVED
TKT-00000005,CH-SH-05-3,ST-SH-05,2025-12-03T15:40:00Z,2025-12-03T15:45:00Z,2025-12-03T15:50:00Z,2025-12-03T19:00:00Z,CONNECTOR,MEDIUM,22768,33609,RESOLVED
TKT-00000006,CH-BJ-01-1,ST-BJ-01,2025-12-04T13:00:00Z,2025-12-04T13:05:00Z,2025-12-04T13:10:00Z,2025-12-04T16:10:00Z,COOLING,MEDIUM,29009,33815,RESOLVED
TKT-00000007,CH-SZ-01-2,ST-SZ-01,2025-12-04T16:30:00Z,2025-12-04T16:35:00Z,2025-12-04T16:40:00Z,2025-12-04T17:10:00Z,COMMUNICATION,MEDIUM,25166,13810,RESOLVED
TKT-00000008,CH-SY-05-2,ST-SY-05,2025-12-05T15:35:00Z,2025-12-05T15:40:00Z,2025-12-05T15:45:00Z,2025-12-05T19:05:00Z,CONNECTOR,MEDIUM,27165,39723,RESOLVED
TKT-00000009,CH-DL-01-2,ST-DL-01,2025-12-05T16:15:00Z,2025-12-05T16:20:00Z,2025-12-05T16:25:00Z,2025-12-05T17:05:00Z,COOLING,MEDIUM,17862,10004,RESOLVED
TKT-00000010,CH-SY-01-2,ST-SY-01,2025-12-05T19:50:00Z,2025-12-05T19:55:00Z,2025-12-05T20:00:00Z,2025-12-05T20:50:00Z,POWER_MODULE,MEDIUM,18075,15123,RESOLVED
TKT-00000011,CH-SZ-02-1,ST-SZ-02,2025-12-05T20:20:00Z,2025-12-05T20:25:00Z,2025-12-05T20:30:00Z,2025-12-05T23:10:00Z,COOLING,MEDIUM,20318,11877,RESOLVED
TKT-00000012,CH-SZ-03-3,ST-SZ-03,2025-12-06T06:45:00Z,2025-12-06T06:50:00Z,2025-12-06T06:55:00Z,2025-12-06T09:40:00Z,POWER_MODULE,MEDIUM,16744,27697,RESOLVED
