payment_id,session_id,user_id,occurred_at,transaction_type,status,channel,amount_cents,failure_reason
PAY-00000001,SES-00000001,U-BJ-001011,2025-11-30T16:40:00Z,PAYMENT,SUCCESS,ALIPAY,2462,
PAY-00000002,SES-00000002,U-SH-000735,2025-11-30T16:55:00Z,PAYMENT,SUCCESS,ALIPAY,2379,
PAY-00000003,SES-00000003,U-SZ-000189,2025-12-01T01:00:00Z,PAYMENT,SUCCESS,WALLET,1953,
PAY-00000004,SES-00000004,U-BJ-000516,2025-11-30T17:30:00Z,PAYMENT,SUCCESS,WECHAT,679,
PAY-00000005,SES-00000005,U-DL-000855,2025-12-01T00:50:00Z,PAYMENT,SUCCESS,WALLET,3451,
PAY-00000006,SES-00000006,U-SZ-000966,2025-12-01T00:10:00Z,PAYMENT,SUCCESS,ALIPAY,700,
PAY-00000007,SES-00000007,U-DL-000241,2025-11-30T16:50:00Z,PAYMENT,SUCCESS,ALIPAY,1817,
PAY-00000008,SES-00000008,U-SZ-000656,2025-11-30T17:20:00Z,PAYMENT,SUCCESS,WALLET,2739,
PAY-00000009,SES-00000009,U-SH-001118,2025-11-30T17:00:00Z,PAYMENT,SUCCESS,WECHAT,2109,
PAY-00000010,SES-00000010,U-SZ-000190,2025-11-30T17:25:00Z,PAYMENT,SUCCESS,WECHAT,3326,
PAY-00000011,SES-00000011,U-SY-000004,2025-11-30T17:05:00Z,PAYMENT,SUCCESS,FLEET_ACCOUNT,1629,
PAY-00000012,SES-00000012,U-BJ-000347,2025-11-30T17:10:00Z,PAYMENT,SUCCESS,WECHAT,1950,
