queue_id,user_id,station_id,joined_at,called_at,resolved_at,position_at_join,status,session_id
QUE-00000001,U-BJ-000268,ST-BJ-04,2025-11-30T16:30:00Z,2025-11-30T16:35:00Z,2025-11-30T16:40:00Z,1,CALL_EXPIRED,
QUE-00000002,U-SY-001005,ST-SY-04,2025-11-30T17:05:00Z,2025-11-30T17:10:00Z,2025-11-30T17:15:00Z,1,SERVED,SES-00000023
QUE-00000003,U-SZ-000729,ST-SZ-03,2025-11-30T17:30:00Z,,2025-11-30T18:05:00Z,1,ABANDONED,
QUE-00000004,U-SZ-000813,ST-SZ-03,2025-11-30T17:45:00Z,,2025-11-30T18:05:00Z,2,ABANDONED,
QUE-00000005,U-SY-000419,ST-SY-04,2025-11-30T18:40:00Z,2025-11-30T19:05:00Z,2025-11-30T19:10:00Z,1,SERVED,SES-00000046
QUE-00000006,U-SY-000943,ST-SY-01,2025-11-30T23:20:00Z,2025-11-30T23:25:00Z,2025-11-30T23:30:00Z,1,SERVED,SES-00000104
QUE-00000008,U-SH-000918,ST-SH-04,2025-11-30T23:25:00Z,2025-11-30T23:30:00Z,2025-11-30T23:35:00Z,1,SERVED,SES-00000106
QUE-00000007,U-SY-000791,ST-SY-01,2025-11-30T23:25:00Z,2025-12-01T00:05:00Z,2025-12-01T00:10:00Z,1,SERVED,SES-00000121
QUE-00000009,U-SY-000212,ST-SY-01,2025-11-30T23:55:00Z,2025-12-01T00:20:00Z,2025-12-01T00:25:00Z,2,SERVED,SES-00000128
QUE-00000010,U-SY-000001,ST-SY-01,2025-12-01T00:15:00Z,2025-12-01T00:20:00Z,2025-12-01T00:25:00Z,2,CALL_EXPIRED,
QUE-00000011,U-SY-000830,ST-SY-01,2025-12-01T00:20:00Z,2025-12-01T00:25:00Z,2025-12-01T00:30:00Z,1,SERVED,SES-00000132
QUE-00000012,U-SY-000166,ST-SY-04,2025-12-01T01:05:00Z,2025-12-01T01:10:00Z,2025-12-01T01:15:00Z,1,SERVED,SES-00000158
