interval_id,vehicle_id,started_at,ended_at,start_soc_pct,end_soc_pct,driving_wh,external_charge_wh
VEI-00000001,V-BJ-000516,2025-11-30T16:00:00Z,2025-11-30T16:05:00Z,25.1233,25.0383,51,0
VEI-00000002,V-DL-000855,2025-11-30T16:00:00Z,2025-11-30T16:10:00Z,44.45,44.4467,3,0
VEI-00000003,V-SH-001118,2025-11-30T16:00:00Z,2025-11-30T16:10:00Z,26.448,26.268,90,0
VEI-00000004,V-SZ-000966,2025-11-30T16:00:00Z,2025-11-30T16:10:00Z,63.78,63.778,1,0
VEI-00000005,V-DL-000241,2025-11-30T16:00:00Z,2025-11-30T16:15:00Z,42.002,41.684,159,0
VEI-00000006,V-SH-001063,2025-11-30T16:00:00Z,2025-11-30T16:15:00Z,40.02,39.65,148,0
VEI-00000007,V-SZ-000656,2025-11-30T16:00:00Z,2025-11-30T16:15:00Z,44.3013,44.128,130,0
VEI-00000008,V-SY-000049,2025-11-30T16:00:00Z,2025-11-30T16:20:00Z,35.8733,35.604,202,0
VEI-00000009,V-SZ-000190,2025-11-30T16:00:00Z,2025-11-30T16:20:00Z,38.9211,38.7633,142,0
VEI-00000010,V-SY-000004,2025-11-30T16:00:00Z,2025-11-30T16:25:00Z,41.776,41.274,251,0
VEI-00000011,V-BJ-000347,2025-11-30T16:00:00Z,2025-11-30T16:25:00Z,48.4917,48.0367,273,0
VEI-00000012,V-SY-001032,2025-11-30T16:00:00Z,2025-11-30T16:30:00Z,48.76,47.815,378,0
