session_id,charger_id,recorded_at,soc_pct,pack_voltage_v,charge_current_a,max_cell_voltage_v,min_cell_voltage_v,max_temperature_c,min_temperature_c
SES-00000001,CH-SH-04-1,2025-11-30T16:00:00Z,42.0,343.49,143.72,3.596,3.56,29.1,26.6
SES-00000001,CH-SH-04-1,2025-11-30T16:05:00Z,46.5711,347.44,142.09,3.6372,3.6012,29.1,26.6
SES-00000003,CH-SY-03-1,2025-11-30T16:10:00Z,45.0,346.08,130.69,3.623,3.587,25.9,23.4
SES-00000002,CH-SH-01-1,2025-11-30T16:10:00Z,19.0,323.62,183.07,3.389,3.353,42.1,39.6
SES-00000001,CH-SH-04-1,2025-11-30T16:10:00Z,51.1422,351.39,140.49,3.6783,3.6423,29.1,26.6
SES-00000003,CH-SY-03-1,2025-11-30T16:15:00Z,51.2817,351.51,128.67,3.6796,3.6436,25.9,23.4
SES-00000002,CH-SH-01-1,2025-11-30T16:15:00Z,28.874,332.15,178.37,3.4779,3.4419,42.1,39.6
SES-00000001,CH-SH-04-1,2025-11-30T16:15:00Z,55.7133,355.34,138.93,3.7195,3.6835,29.1,26.6
SES-00000004,CH-DL-05-1,2025-11-30T16:20:00Z,26.0,329.66,164.53,3.452,3.416,26.8,24.3
SES-00000003,CH-SY-03-1,2025-11-30T16:20:00Z,57.5633,356.93,126.71,3.736,3.7,25.9,23.4
SES-00000002,CH-SH-01-1,2025-11-30T16:20:00Z,38.748,340.68,173.9,3.5667,3.5308,42.1,39.6
SES-00000001,CH-SH-04-1,2025-11-30T16:20:00Z,60.2844,359.29,137.4,3.7606,3.7246,29.1,26.6
