queue_id,user_id,station_id,joined_at,called_at,resolved_at,position_at_join,status,session_id
QUE-00000001,U-SZ-000044,ST-SZ-04,2025-11-30T23:35:00Z,,2025-12-01T00:20:00Z,1,ABANDONED,
QUE-00000003,U-SH-000010,ST-SH-04,2025-12-01T00:30:00Z,,2025-12-01T00:45:00Z,1,ABANDONED,
QUE-00000002,U-SZ-000034,ST-SZ-01,2025-12-01T00:15:00Z,2025-12-01T00:45:00Z,2025-12-01T00:50:00Z,1,SERVED,SES-00000143
QUE-00000004,U-SZ-000041,ST-SZ-04,2025-12-01T00:30:00Z,2025-12-01T00:50:00Z,2025-12-01T00:55:00Z,1,CALL_EXPIRED,
QUE-00000006,U-SZ-000063,ST-SZ-04,2025-12-01T00:40:00Z,,2025-12-01T00:55:00Z,2,ABANDONED,
QUE-00000008,U-SH-000040,ST-SH-01,2025-12-01T00:55:00Z,2025-12-01T01:05:00Z,2025-12-01T01:10:00Z,1,SERVED,SES-00000151
QUE-00000005,U-SH-000069,ST-SH-04,2025-12-01T00:35:00Z,,2025-12-01T01:10:00Z,2,ABANDONED,
QUE-00000009,U-SH-000003,ST-SH-04,2025-12-01T00:55:00Z,2025-12-01T01:10:00Z,2025-12-01T01:15:00Z,2,SERVED,SES-00000155
QUE-00000012,U-SY-000010,ST-SY-01,2025-12-01T01:05:00Z,,2025-12-01T01:20:00Z,1,ABANDONED,
QUE-00000007,U-BJ-000036,ST-BJ-01,2025-12-01T00:55:00Z,2025-12-01T01:20:00Z,2025-12-01T01:25:00Z,1,SERVED,SES-00000163
QUE-00000013,U-SH-000050,ST-SH-01,2025-12-01T01:05:00Z,2025-12-01T01:20:00Z,2025-12-01T01:25:00Z,1,SERVED,SES-00000164
QUE-00000011,U-SZ-000012,ST-SZ-01,2025-12-01T01:00:00Z,2025-12-01T01:20:00Z,2025-12-01T01:25:00Z,1,SERVED,SES-00000165
