reservation_id,user_id,station_id,charger_id,created_at,expires_at,resolved_at,status,session_id
RSV-00000001,U-SH-000067,ST-SH-01,CH-SH-01-1,2025-11-30T16:05:00Z,2025-11-30T16:10:00Z,2025-11-30T16:10:00Z,CONFIRMED,SES-00000002
RSV-00000002,U-BJ-000068,ST-BJ-02,CH-BJ-02-1,2025-11-30T16:10:00Z,2025-11-30T16:25:00Z,2025-11-30T16:25:00Z,CONFIRMED,SES-00000005
RSV-00000003,U-DL-000035,ST-DL-01,CH-DL-01-1,2025-11-30T16:15:00Z,2025-11-30T16:35:00Z,2025-11-30T16:35:00Z,CONFIRMED,SES-00000006
RSV-00000004,U-SZ-000068,ST-SZ-01,CH-SZ-01-1,2025-11-30T16:35:00Z,2025-11-30T16:50:00Z,2025-11-30T16:50:00Z,CONFIRMED,SES-00000012
RSV-00000005,U-SY-000078,ST-SY-05,CH-SY-05-1,2025-11-30T16:40:00Z,2025-11-30T16:55:00Z,2025-11-30T16:55:00Z,CONFIRMED,SES-00000014
RSV-00000006,U-BJ-000066,ST-BJ-01,CH-BJ-01-2,2025-11-30T16:45:00Z,2025-11-30T16:55:00Z,2025-11-30T16:55:00Z,CONFIRMED,SES-00000015
RSV-00000008,U-SZ-000022,ST-SZ-01,CH-SZ-01-2,2025-11-30T17:10:00Z,2025-11-30T17:15:00Z,2025-11-30T17:15:00Z,CANCELLED,
RSV-00000007,U-BJ-000042,ST-BJ-05,CH-BJ-05-1,2025-11-30T17:05:00Z,2025-11-30T17:25:00Z,2025-11-30T17:25:00Z,CONFIRMED,SES-00000022
RSV-00000009,U-SY-000004,ST-SY-03,CH-SY-03-1,2025-11-30T17:35:00Z,2025-11-30T17:55:00Z,2025-11-30T17:55:00Z,CONFIRMED,SES-00000027
RSV-00000010,U-SH-000062,ST-SH-01,CH-SH-01-2,2025-11-30T18:25:00Z,2025-11-30T18:40:00Z,2025-11-30T18:40:00Z,CONFIRMED,SES-00000032
RSV-00000011,U-SH-000022,ST-SH-02,CH-SH-02-2,2025-11-30T18:35:00Z,2025-11-30T18:55:00Z,2025-11-30T18:55:00Z,CONFIRMED,SES-00000037
RSV-00000012,U-BJ-000059,ST-BJ-04,CH-BJ-04-1,2025-11-30T18:55:00Z,2025-11-30T19:10:00Z,2025-11-30T19:10:00Z,CONFIRMED,SES-00000039
