review_id,session_id,user_id,station_id,created_at,rating,issue_type,comment
REV-00000001,SES-00000003,U-SY-000003,ST-SY-03,2025-11-30T16:45:00Z,4,NONE,模拟评价：常规充电体验
REV-00000002,SES-00000005,U-BJ-000068,ST-BJ-02,2025-11-30T17:15:00Z,5,NONE,模拟评价：常规充电体验
REV-00000003,SES-00000008,U-BJ-000029,ST-BJ-01,2025-11-30T17:20:00Z,5,NONE,模拟评价：常规充电体验
REV-00000004,SES-00000015,U-BJ-000066,ST-BJ-01,2025-11-30T17:15:00Z,4,NONE,模拟评价：常规充电体验
REV-00000005,SES-00000017,U-SZ-000020,ST-SZ-02,2025-11-30T18:25:00Z,5,NONE,模拟评价：常规充电体验
REV-00000006,SES-00000018,U-SZ-000040,ST-SZ-05,2025-11-30T17:50:00Z,5,NONE,模拟评价：常规充电体验
REV-00000007,SES-00000023,U-BJ-000053,ST-BJ-01,2025-11-30T18:10:00Z,5,NONE,模拟评价：常规充电体验
REV-00000008,SES-00000024,U-SH-000056,ST-SH-05,2025-11-30T22:40:00Z,5,NONE,模拟评价：常规充电体验
REV-00000009,SES-00000026,U-SH-000017,ST-SH-01,2025-11-30T18:10:00Z,3,NONE,模拟评价：常规充电体验
REV-00000010,SES-00000032,U-SH-000062,ST-SH-01,2025-11-30T19:40:00Z,4,NONE,模拟评价：常规充电体验
REV-00000011,SES-00000040,U-SH-000012,ST-SH-04,2025-11-30T20:10:00Z,5,NONE,模拟评价：常规充电体验
REV-00000012,SES-00000041,U-SZ-000048,ST-SZ-05,2025-11-30T20:40:00Z,5,NONE,模拟评价：常规充电体验
