station_id,city_id,station_name,site_type,latitude,longitude,opened_at,transformer_kw,rent_daily_cents
ST-DL-01,DL,大连市科创园模拟充电站,OFFICE,38.864,121.5797,2023-12-01T16:00:00Z,360,12000
ST-DL-02,DL,大连市商业中心模拟充电站,SHOPPING,38.889,121.6147,2023-12-01T16:00:00Z,360,13000
ST-DL-03,DL,大连市社区模拟充电站,RESIDENTIAL,38.914,121.6497,2023-12-01T16:00:00Z,360,14000
ST-DL-04,DL,大连市交通枢纽模拟充电站,TRANSIT,38.939,121.5797,2023-12-01T16:00:00Z,360,15000
ST-DL-05,DL,大连市大学城模拟充电站,CAMPUS,38.964,121.6147,2023-12-01T16:00:00Z,360,16000
ST-SY-01,SY,沈阳市科创园模拟充电站,OFFICE,41.7557,123.3965,2023-12-01T16:00:00Z,360,14500
ST-SY-02,SY,沈阳市商业中心模拟充电站,SHOPPING,41.7807,123.4315,2023-12-01T16:00:00Z,360,15500
ST-SY-03,SY,沈阳市社区模拟充电站,RESIDENTIAL,41.8057,123.4665,2023-12-01T16:00:00Z,360,16500
ST-SY-04,SY,沈阳市交通枢纽模拟充电站,TRANSIT,41.8307,123.3965,2023-12-01T16:00:00Z,360,17500
ST-SY-05,SY,沈阳市大学城模拟充电站,CAMPUS,41.8557,123.4315,2023-12-01T16:00:00Z,360,18500
ST-BJ-01,BJ,北京市科创园模拟充电站,OFFICE,39.8542,116.3724,2023-12-01T16:00:00Z,360,17000
ST-BJ-02,BJ,北京市商业中心模拟充电站,SHOPPING,39.8792,116.4074,2023-12-01T16:00:00Z,360,18000
