vehicle_id,user_id,battery_capacity_kwh,max_charge_kw,vehicle_class
V-DL-000001,U-DL-000001,90,150,COMMUTER
V-DL-000002,U-DL-000002,90,50,COMMUTER
V-DL-000003,U-DL-000003,90,150,FAMILY
V-DL-000004,U-DL-000004,75,50,FAMILY
V-DL-000005,U-DL-000005,60,80,COMMUTER
V-DL-000006,U-DL-000006,50,150,FAMILY
V-DL-000007,U-DL-000007,50,150,COMMUTER
V-DL-000008,U-DL-000008,90,50,RIDE_HAILING
V-DL-000009,U-DL-000009,50,80,COMMUTER
V-DL-000010,U-DL-000010,90,50,COMMUTER
V-DL-000011,U-DL-000011,60,50,FAMILY
V-DL-000012,U-DL-000012,90,80,FAMILY
