label_id,session_id,recorded_at,anomaly_type,severity
ANOM-00000001,SES-00000108,2025-11-30T23:55:00Z,THERMAL_STRESS,MEDIUM
ANOM-00000002,SES-00000126,2025-12-01T00:45:00Z,EARLY_STOP,MEDIUM
ANOM-00000003,SES-00000134,2025-12-01T01:00:00Z,POWER_DERATING,MEDIUM
ANOM-00000004,SES-00000146,2025-12-01T01:25:00Z,POWER_DERATING,MEDIUM
ANOM-00000005,SES-00000157,2025-12-01T01:45:00Z,EARLY_STOP,MEDIUM
ANOM-00000006,SES-00000159,2025-12-01T01:50:00Z,EARLY_STOP,MEDIUM
ANOM-00000007,SES-00000163,2025-12-01T01:55:00Z,POWER_DERATING,MEDIUM
ANOM-00000008,SES-00000175,2025-12-01T02:25:00Z,THERMAL_STRESS,MEDIUM
ANOM-00000009,SES-00000189,2025-12-01T02:45:00Z,EARLY_STOP,MEDIUM
ANOM-00000010,SES-00000262,2025-12-01T04:15:00Z,THERMAL_STRESS,MEDIUM
ANOM-00000011,SES-00000288,2025-12-01T04:50:00Z,EARLY_STOP,MEDIUM
ANOM-00000012,SES-00000289,2025-12-01T04:50:00Z,POWER_DERATING,MEDIUM
