charger_id,station_id,connector_type,rated_power_kw,commissioned_at,manufacturer,model
CH-DL-01-1,ST-DL-01,DC,60,2023-12-01T16:00:00Z,SIM_VENDOR_1,SIM-DC60
CH-DL-01-2,ST-DL-01,DC,120,2023-12-01T16:00:00Z,SIM_VENDOR_2,SIM-DC120
CH-DL-01-3,ST-DL-01,AC,7,2023-12-01T16:00:00Z,SIM_VENDOR_3,SIM-AC7
CH-DL-02-1,ST-DL-02,DC,60,2023-12-01T16:00:00Z,SIM_VENDOR_1,SIM-DC60
CH-DL-02-2,ST-DL-02,DC,120,2023-12-01T16:00:00Z,SIM_VENDOR_2,SIM-DC120
CH-DL-02-3,ST-DL-02,AC,7,2023-12-01T16:00:00Z,SIM_VENDOR_3,SIM-AC7
CH-DL-03-1,ST-DL-03,DC,60,2023-12-01T16:00:00Z,SIM_VENDOR_1,SIM-DC60
CH-DL-03-2,ST-DL-03,AC,7,2023-12-01T16:00:00Z,SIM_VENDOR_2,SIM-AC7
CH-DL-03-3,ST-DL-03,AC,7,2023-12-01T16:00:00Z,SIM_VENDOR_3,SIM-AC7
CH-DL-04-1,ST-DL-04,DC,60,2023-12-01T16:00:00Z,SIM_VENDOR_1,SIM-DC60
CH-DL-04-2,ST-DL-04,DC,120,2023-12-01T16:00:00Z,SIM_VENDOR_2,SIM-DC120
CH-DL-04-3,ST-DL-04,AC,7,2023-12-01T16:00:00Z,SIM_VENDOR_3,SIM-AC7
