attempt_id,user_id,vehicle_id,station_id,charger_id,attempted_at,outcome,failure_reason,session_id,queue_id,reservation_id
ATT-00000001,U-SY-000003,V-SY-000003,ST-SY-04,CH-SY-04-1,2025-11-30T16:00:00Z,STARTED,,SES-00000001,,RSV-00000001
ATT-00000002,U-SH-000074,V-SH-000074,ST-SH-04,CH-SH-04-1,2025-11-30T16:05:00Z,STARTED,,SES-00000002,,
ATT-00000003,U-BJ-000062,V-BJ-000062,ST-BJ-04,CH-BJ-04-2,2025-11-30T16:10:00Z,STARTED,,SES-00000003,,
ATT-00000004,U-SH-000011,V-SH-000011,ST-SH-03,CH-SH-03-2,2025-11-30T16:10:00Z,STARTED,,SES-00000004,,
ATT-00000005,U-SY-000032,V-SY-000032,ST-SY-04,CH-SY-04-3,2025-11-30T16:15:00Z,STARTED,,SES-00000005,,
ATT-00000006,U-SH-000080,V-SH-000080,ST-SH-03,CH-SH-03-3,2025-11-30T16:15:00Z,STARTED,,SES-00000006,,
ATT-00000007,U-BJ-000001,V-BJ-000001,ST-BJ-04,CH-BJ-04-1,2025-11-30T16:25:00Z,STARTED,,SES-00000007,,
ATT-00000008,U-SZ-000073,V-SZ-000073,ST-SZ-04,CH-SZ-04-2,2025-11-30T16:25:00Z,STARTED,,SES-00000008,,
ATT-00000010,U-SZ-000031,V-SZ-000031,ST-SZ-04,CH-SZ-04-1,2025-11-30T16:35:00Z,STARTED,,SES-00000009,,
ATT-00000013,U-BJ-000038,V-BJ-000038,ST-BJ-04,CH-BJ-04-3,2025-11-30T16:40:00Z,STARTED,,SES-00000010,,
ATT-00000009,U-SY-000076,V-SY-000076,ST-SY-04,CH-SY-04-2,2025-11-30T16:35:00Z,STARTED,,SES-00000011,,RSV-00000002
ATT-00000012,U-BJ-000041,V-BJ-000041,ST-BJ-03,CH-BJ-03-1,2025-11-30T16:40:00Z,STARTED,,SES-00000012,,RSV-00000003
