session_id,attempt_id,user_id,vehicle_id,station_id,charger_id,started_at,ended_at,unplugged_at,energy_wh,grid_energy_wh,electricity_fee_cents,service_fee_cents,parking_fee_cents,discount_cents,total_fee_cents,grid_cost_cents,status,stop_reason,start_soc_pct,end_soc_pct,target_mode,target_value,campaign_id
SES-00000001,ATT-00000001,U-SY-000003,V-SY-000003,ST-SY-04,CH-SY-04-1,2025-11-30T16:05:00Z,2025-11-30T16:50:00Z,2025-11-30T17:00:00Z,28726,30244,1551,863,0,0,2414,1271,COMPLETED,TARGET_REACHED,36.2233,84.1,ENERGY,28726,
SES-00000002,ATT-00000002,U-SH-000074,V-SH-000074,ST-SH-04,CH-SH-04-1,2025-11-30T16:05:00Z,2025-11-30T16:30:00Z,2025-11-30T16:35:00Z,18035,18986,974,541,0,0,1515,797,COMPLETED,TARGET_REACHED,49.604,85.674,ENERGY,18035,
SES-00000003,ATT-00000003,U-BJ-000062,V-BJ-000062,ST-BJ-04,CH-BJ-04-2,2025-11-30T16:10:00Z,2025-11-30T16:20:00Z,2025-11-30T16:50:00Z,8955,9427,483,268,160,0,911,396,COMPLETED,TARGET_REACHED,66.0613,78.0013,ENERGY,8955,
SES-00000004,ATT-00000004,U-SH-000011,V-SH-000011,ST-SH-03,CH-SH-03-2,2025-11-30T16:10:00Z,2025-11-30T22:05:00Z,2025-12-01T00:50:00Z,32054,34875,1735,963,0,0,2698,1467,COMPLETED,TARGET_REACHED,53.4878,89.1033,ENERGY,32054,
SES-00000005,ATT-00000005,U-SY-000032,V-SY-000032,ST-SY-04,CH-SY-04-3,2025-11-30T16:15:00Z,2025-11-30T19:35:00Z,2025-11-30T19:35:00Z,20739,22562,1120,625,0,0,1745,948,COMPLETED,DURATION_LIMIT,40.59,82.068,ENERGY,25285,
SES-00000006,ATT-00000006,U-SH-000080,V-SH-000080,ST-SH-03,CH-SH-03-3,2025-11-30T16:15:00Z,2025-11-30T23:25:00Z,2025-11-30T23:25:00Z,47475,51639,2634,1421,0,300,3755,2233,COMPLETED,DURATION_LIMIT,28.0156,80.7656,ENERGY,57466,CP-SH-1
SES-00000007,ATT-00000007,U-BJ-000001,V-BJ-000001,ST-BJ-04,CH-BJ-04-1,2025-11-30T16:25:00Z,2025-11-30T17:05:00Z,2025-11-30T17:15:00Z,27181,28615,1467,816,0,0,2283,1203,COMPLETED,TARGET_REACHED,44.5987,80.84,ENERGY,27181,
SES-00000008,ATT-00000008,U-SZ-000073,V-SZ-000073,ST-SZ-04,CH-SZ-04-2,2025-11-30T16:25:00Z,2025-11-30T16:40:00Z,2025-11-30T16:45:00Z,21975,23134,1187,659,0,300,1546,972,COMPLETED,TARGET_REACHED,47.892,77.192,ENERGY,21975,CP-SZ-1
SES-00000009,ATT-00000010,U-SZ-000031,V-SZ-000031,ST-SZ-04,CH-SZ-04-1,2025-11-30T16:35:00Z,2025-11-30T17:25:00Z,2025-11-30T17:25:00Z,36098,38003,1949,1082,0,300,2731,1597,COMPLETED,TARGET_REACHED,34.8627,82.9933,ENERGY,36098,CP-SZ-1
SES-00000010,ATT-00000013,U-BJ-000038,V-BJ-000038,ST-BJ-04,CH-BJ-04-3,2025-11-30T16:40:00Z,2025-11-30T19:10:00Z,2025-11-30T19:10:00Z,16497,17947,893,496,0,300,1089,754,COMPLETED,DURATION_LIMIT,41.14,74.134,ENERGY,22068,CP-BJ-1
SES-00000011,ATT-00000009,U-SY-000076,V-SY-000076,ST-SY-04,CH-SY-04-2,2025-11-30T16:45:00Z,2025-11-30T17:15:00Z,2025-11-30T17:15:00Z,24640,25939,1330,739,0,0,2069,1090,COMPLETED,TARGET_REACHED,38.576,87.856,ENERGY,24640,
SES-00000012,ATT-00000012,U-BJ-000041,V-BJ-000041,ST-BJ-03,CH-BJ-03-1,2025-11-30T16:45:00Z,2025-11-30T17:10:00Z,2025-11-30T17:10:00Z,12596,13262,679,378,0,0,1057,557,COMPLETED,TARGET_REACHED,49.01,80.5,ENERGY,12596,
