event_id,ticket_id,event_at,status,note
MEV-00000001,TKT-00000001,2025-11-30T19:30:00Z,SUBMITTED,模拟维修流程
MEV-00000002,TKT-00000001,2025-11-30T19:35:00Z,ACCEPTED,模拟维修流程
MEV-00000003,TKT-00000001,2025-11-30T19:40:00Z,IN_PROGRESS,模拟维修流程
MEV-00000004,TKT-00000001,2025-11-30T20:45:00Z,RESOLVED,模拟维修流程
MEV-00000005,TKT-00000002,2025-12-01T02:00:00Z,SUBMITTED,模拟维修流程
MEV-00000006,TKT-00000002,2025-12-01T02:05:00Z,ACCEPTED,模拟维修流程
MEV-00000007,TKT-00000002,2025-12-01T02:10:00Z,IN_PROGRESS,模拟维修流程
MEV-00000008,TKT-00000002,2025-12-01T04:30:00Z,RESOLVED,模拟维修流程
MEV-00000009,TKT-00000003,2025-12-01T06:45:00Z,SUBMITTED,模拟维修流程
MEV-00000010,TKT-00000003,2025-12-01T06:50:00Z,ACCEPTED,模拟维修流程
MEV-00000011,TKT-00000003,2025-12-01T06:55:00Z,IN_PROGRESS,模拟维修流程
MEV-00000012,TKT-00000003,2025-12-01T09:25:00Z,RESOLVED,模拟维修流程
