ticket_id,charger_id,station_id,reported_at,accepted_at,work_started_at,restored_at,fault_type,severity,labor_cost_cents,parts_cost_cents,status
TKT-00000001,CH-BJ-01-2,ST-BJ-01,2025-11-30T19:30:00Z,2025-11-30T19:35:00Z,2025-11-30T19:40:00Z,2025-11-30T20:45:00Z,COOLING,MEDIUM,28610,40491,RESOLVED
TKT-00000002,CH-DL-05-2,ST-DL-05,2025-12-01T02:00:00Z,2025-12-01T02:05:00Z,2025-12-01T02:10:00Z,2025-12-01T04:30:00Z,CONNECTOR,MEDIUM,14463,41320,RESOLVED
TKT-00000003,CH-SY-05-1,ST-SY-05,2025-12-01T06:45:00Z,2025-12-01T06:50:00Z,2025-12-01T06:55:00Z,2025-12-01T09:25:00Z,COMMUNICATION,MEDIUM,24829,1660,RESOLVED
TKT-00000004,CH-DL-01-3,ST-DL-01,2025-12-01T15:10:00Z,2025-12-01T15:15:00Z,2025-12-01T15:20:00Z,2025-12-01T18:45:00Z,COOLING,MEDIUM,16930,3848,RESOLVED
TKT-00000005,CH-SH-05-2,ST-SH-05,2025-12-01T22:30:00Z,2025-12-01T22:35:00Z,2025-12-01T22:40:00Z,2025-12-02T00:15:00Z,COOLING,MEDIUM,28827,32915,RESOLVED
TKT-00000006,CH-SH-05-3,ST-SH-05,2025-12-02T00:45:00Z,2025-12-02T00:50:00Z,2025-12-02T00:55:00Z,2025-12-02T04:05:00Z,POWER_MODULE,MEDIUM,21520,23229,RESOLVED
TKT-00000007,CH-SZ-05-1,ST-SZ-05,2025-12-02T01:05:00Z,2025-12-02T01:10:00Z,2025-12-02T01:15:00Z,2025-12-02T05:10:00Z,COOLING,MEDIUM,13021,25991,RESOLVED
TKT-00000008,CH-SZ-03-2,ST-SZ-03,2025-12-02T01:55:00Z,2025-12-02T02:00:00Z,2025-12-02T02:05:00Z,2025-12-02T02:35:00Z,CONNECTOR,MEDIUM,21102,541,RESOLVED
TKT-00000009,CH-BJ-04-2,ST-BJ-04,2025-12-02T03:05:00Z,2025-12-02T03:10:00Z,2025-12-02T03:15:00Z,2025-12-02T04:25:00Z,CONNECTOR,MEDIUM,9964,48301,RESOLVED
TKT-00000010,CH-SY-01-1,ST-SY-01,2025-12-02T15:35:00Z,2025-12-02T15:40:00Z,2025-12-02T15:45:00Z,2025-12-02T19:00:00Z,POWER_MODULE,MEDIUM,15115,46522,RESOLVED
TKT-00000011,CH-SY-01-1,ST-SY-01,2025-12-03T05:20:00Z,2025-12-03T05:25:00Z,2025-12-03T05:30:00Z,2025-12-03T09:30:00Z,CONNECTOR,MEDIUM,17246,13780,RESOLVED
TKT-00000012,CH-SH-05-1,ST-SH-05,2025-12-03T12:00:00Z,2025-12-03T12:05:00Z,2025-12-03T12:10:00Z,2025-12-03T14:35:00Z,COMMUNICATION,MEDIUM,16047,742,RESOLVED
