payment_id,session_id,user_id,occurred_at,transaction_type,status,channel,amount_cents,failure_reason
PAY-00000001,SES-00000001,U-SY-000003,2025-11-30T17:05:00Z,PAYMENT,SUCCESS,WALLET,2414,
PAY-00000002,SES-00000002,U-SH-000074,2025-11-30T16:40:00Z,PAYMENT,SUCCESS,WECHAT,1515,
PAY-00000003,SES-00000003,U-BJ-000062,2025-11-30T16:55:00Z,PAYMENT,SUCCESS,WECHAT,911,
PAY-00000004,SES-00000004,U-SH-000011,2025-12-01T00:55:00Z,PAYMENT,SUCCESS,ALIPAY,2698,
PAY-00000005,SES-00000005,U-SY-000032,2025-11-30T19:45:00Z,PAYMENT,SUCCESS,WECHAT,1745,
PAY-00000006,SES-00000006,U-SH-000080,2025-11-30T23:35:00Z,PAYMENT,SUCCESS,WECHAT,3755,
PAY-00000007,SES-00000007,U-BJ-000001,2025-11-30T17:20:00Z,PAYMENT,SUCCESS,FLEET_ACCOUNT,2283,
PAY-00000008,SES-00000008,U-SZ-000073,2025-11-30T16:50:00Z,PAYMENT,SUCCESS,WECHAT,1546,
PAY-00000009,SES-00000009,U-SZ-000031,2025-11-30T17:35:00Z,PAYMENT,SUCCESS,WECHAT,2731,
PAY-00000010,SES-00000010,U-BJ-000038,2025-11-30T19:20:00Z,PAYMENT,SUCCESS,ALIPAY,1089,
PAY-00000011,SES-00000011,U-SY-000076,2025-11-30T17:25:00Z,PAYMENT,SUCCESS,WECHAT,2069,
PAY-00000012,SES-00000012,U-BJ-000041,2025-11-30T17:20:00Z,PAYMENT,SUCCESS,WECHAT,1057,
