user_id,home_city_id,registered_at,segment,acquisition_channel,membership
U-DL-000001,DL,2024-09-14T16:00:00Z,COMMUTER,REFERRAL,STANDARD
U-DL-000002,DL,2024-08-28T16:00:00Z,COMMUTER,SEARCH,STANDARD
U-DL-000003,DL,2024-06-26T16:00:00Z,FLEET,SEARCH,STANDARD
U-DL-000004,DL,2025-07-15T16:00:00Z,FAMILY,SEARCH,PLUS
U-DL-000005,DL,2025-04-05T16:00:00Z,FLEET,ORGANIC,STANDARD
U-DL-000006,DL,2025-05-18T16:00:00Z,COMMUTER,REFERRAL,STANDARD
U-DL-000007,DL,2024-03-02T16:00:00Z,FAMILY,REFERRAL,STANDARD
U-DL-000008,DL,2025-04-27T16:00:00Z,FAMILY,ADS,STANDARD
U-DL-000009,DL,2025-10-11T16:00:00Z,COMMUTER,ORGANIC,STANDARD
U-DL-000010,DL,2024-07-27T16:00:00Z,COMMUTER,ADS,STANDARD
U-DL-000011,DL,2024-04-19T16:00:00Z,COMMUTER,SEARCH,PLUS
U-DL-000012,DL,2025-09-14T16:00:00Z,RIDE_HAILING,ORGANIC,STANDARD
