interval_id,vehicle_id,started_at,ended_at,start_soc_pct,end_soc_pct,driving_wh,external_charge_wh
VEI-00000001,V-SH-000074,2025-11-30T16:00:00Z,2025-11-30T16:05:00Z,49.682,49.604,39,0
VEI-00000002,V-BJ-000062,2025-11-30T16:00:00Z,2025-11-30T16:10:00Z,66.204,66.0613,107,0
VEI-00000003,V-SH-000011,2025-11-30T16:00:00Z,2025-11-30T16:10:00Z,53.4922,53.4878,4,0
VEI-00000004,V-SY-000032,2025-11-30T16:00:00Z,2025-11-30T16:15:00Z,40.926,40.59,168,0
VEI-00000005,V-SH-000080,2025-11-30T16:00:00Z,2025-11-30T16:15:00Z,28.0211,28.0156,5,0
VEI-00000006,V-BJ-000001,2025-11-30T16:00:00Z,2025-11-30T16:25:00Z,44.892,44.5987,220,0
VEI-00000007,V-SZ-000073,2025-11-30T16:00:00Z,2025-11-30T16:25:00Z,48.1347,47.892,182,0
VEI-00000008,V-SY-000076,2025-11-30T16:00:00Z,2025-11-30T16:35:00Z,38.586,38.576,5,0
VEI-00000009,V-SZ-000031,2025-11-30T16:00:00Z,2025-11-30T16:35:00Z,35.3053,34.8627,332,0
VEI-00000010,V-SY-000065,2025-11-30T16:00:00Z,2025-11-30T16:40:00Z,43.1967,42.5417,393,0
VEI-00000011,V-BJ-000041,2025-11-30T16:00:00Z,2025-11-30T16:40:00Z,49.035,49.01,10,0
VEI-00000012,V-BJ-000038,2025-11-30T16:00:00Z,2025-11-30T16:40:00Z,42.002,41.14,431,0
