charger_id,station_id,city_id,business_date,attempts_on_day,started_on_day,tech_fails_on_day,fail_flag,users_on_day
CH-BJ-01-1,ST-BJ-01,BJ,2025-12-01,6,6,0,0,6
CH-BJ-01-2,ST-BJ-01,BJ,2025-12-01,10,10,0,0,10
CH-BJ-01-3,ST-BJ-01,BJ,2025-12-01,4,4,0,0,4
CH-BJ-02-1,ST-BJ-02,BJ,2025-12-01,9,9,0,0,9
CH-BJ-02-2,ST-BJ-02,BJ,2025-12-01,14,14,0,0,14
CH-BJ-02-3,ST-BJ-02,BJ,2025-12-01,3,2,1,1,3
CH-BJ-03-1,ST-BJ-03,BJ,2025-12-01,7,5,2,1,7
CH-BJ-03-2,ST-BJ-03,BJ,2025-12-01,2,2,0,0,2
CH-BJ-03-3,ST-BJ-03,BJ,2025-12-01,3,3,0,0,3
CH-BJ-04-1,ST-BJ-04,BJ,2025-12-01,17,15,2,1,17
CH-BJ-04-2,ST-BJ-04,BJ,2025-12-01,24,23,1,1,24
CH-BJ-04-3,ST-BJ-04,BJ,2025-12-01,5,5,0,0,5
CH-BJ-05-1,ST-BJ-05,BJ,2025-12-01,5,5,0,0,5
CH-BJ-05-2,ST-BJ-05,BJ,2025-12-01,14,14,0,0,14
CH-BJ-05-3,ST-BJ-05,BJ,2025-12-01,3,3,0,0,3
CH-DL-01-1,ST-DL-01,DL,2025-12-01,5,5,0,0,5
CH-DL-01-2,ST-DL-01,DL,2025-12-01,9,9,0,0,9
CH-DL-01-3,ST-DL-01,DL,2025-12-01,5,5,0,0,5
CH-DL-02-1,ST-DL-02,DL,2025-12-01,8,8,0,0,8
CH-DL-02-2,ST-DL-02,DL,2025-12-01,11,11,0,0,11
CH-DL-02-3,ST-DL-02,DL,2025-12-01,4,4,0,0,4
CH-DL-03-1,ST-DL-03,DL,2025-12-01,5,5,0,0,5
CH-DL-03-2,ST-DL-03,DL,2025-12-01,1,1,0,0,1
CH-DL-03-3,ST-DL-03,DL,2025-12-01,2,2,0,0,2
CH-DL-04-1,ST-DL-04,DL,2025-12-01,15,14,1,1,15
CH-DL-04-2,ST-DL-04,DL,2025-12-01,18,18,0,0,18
